"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-16",,"73","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-17",,"66","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-18",,"71","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-19",,"72","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-20",,"68","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-21",,"73","49",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-22",,"73","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-23",,"77","61",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-24",,"81","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-25",,"66","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-26",,"69","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-27",,"68","52",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-28",,"64","49",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-29",,"65","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025-09-30",,"69","46",
